frame_nbr,ball_pos_X,ball_pos_Y
1.0,1245.354952561088,832.216060659234
2.0,1254.907968912927,826.4567503120168
3.0,1263.1939589101507,821.028856135808
4.0,1271.835428213342,815.4622834771031
5.0,1281.7776707533678,809.9638250581232
6.0,1281.776988830813,809.9637452381977
7.0,1291.4182741495392,804.7737219889726
8.0,1299.0623519233338,800.315786373787
9.0,1305.2919729435212,796.1374365095528
10.0,1313.3552249574782,792.0147460033143
11.0,1322.7072692031072,787.5850468524978
12.0,1322.7072504221503,787.5849539896842
13.0,1331.1485919781285,783.1350467385912
14.0,1336.8594943317828,780.2883079759359
15.0,1342.9960996450898,777.0465461851438
16.0,1349.5470908650082,773.4393316866947
17.0,1357.97560242613,770.5183295157717
18.0,1357.9758067345615,770.5182273434527
19.0,1364.2975208900805,767.223712850478
20.0,1370.225302336078,764.9565140266232
21.0,1375.909925551225,762.3135748153551
22.0,1381.795697026564,760.0316448122444
23.0,1385.895269423538,758.4680929615529
24.0,1385.8949992848304,758.4681475658169
25.0,1390.5905622626328,756.3880225661431
26.0,1396.7804612617172,753.9419641653606
27.0,1402.2686957515282,751.9235528987841
28.0,1404.9564416767903,750.3208554598839
29.0,1408.4921171033195,748.1829651981953
30.0,1408.491679437131,748.1831066695916
31.0,1411.5723328182055,746.2470104481513
32.0,1424.3603798890613,741.4880859131022
33.0,1429.6102031746027,739.2958977182724
34.0,1433.3903481319946,737.4468645902869
35.0,1439.2220340359663,735.708046878235
36.0,1439.168102918181,735.7353554564564
37.0,1442.4231211546876,733.8826837812622
38.0,1447.9538796505044,731.3877333904621
39.0,1452.781195586882,729.5395041268829
40.0,1456.6407933768592,728.3436717153763
41.0,1460.654686263469,726.0121358452087
42.0,1460.6437009234255,726.0016649817782
43.0,1465.2937232564914,724.4958093086271
44.0,1470.5304426749233,720.9068950838881
45.0,1473.2217059656807,719.3759253423061
46.0,1478.3199377750718,717.8536315601135
47.0,1482.2563682408572,715.6613232809896
48.0,1482.22757257974,715.6635747147672
49.0,1486.1203852929132,713.6116020210742
50.0,1488.4162025962787,712.5378824832483
51.0,1571.460129308571,540.8583127365009
52.0,695.6208230209327,492.7019435152032
53.0,695.6580447617373,492.67121371123005
54.0,695.6952665025419,492.6404839072569
55.0,695.7324882433464,492.6097541032837
56.0,695.7697099841511,492.57902429931056
57.0,1567.2888781249612,538.9691773864254
58.0,697.8564472409178,493.4670092558683
59.0,697.0230605208335,494.1857862260264
60.0,696.1896738007492,494.90456319618454
61.0,695.3562870806649,495.62334016634264
62.0,694.5229003605806,496.3421171365008
63.0,693.6895136404963,497.0608941066589
64.0,802.8597065525756,502.17929209648577
65.0,912.0298994646549,507.2976900863126
66.0,1021.2000923767341,512.4160880761395
67.0,1130.3702852888134,517.5344860659663
68.0,1239.5404782008927,522.6528840557933
69.0,1348.710671112972,527.7712820456202
70.0,1457.8808640250513,532.889680035447
