frame_nbr ,player_ID ,player_pos_X        ,player_pos_Y        ,player_team ,assigned_id
      4.0 ,      4.0 , 861.9188783718864  , 634.4925394029054  ,Man City    ,-1.0
      4.0 ,      5.0 , 420.795045211041   , 612.2430816735734  ,Man City    ,-1.0
      4.0 ,      6.0 , 885.0228790004421  , 925.8521291383867  ,Man City    ,-1.0
      4.0 ,      7.0 ,1243.680428441091   , 664.4800686031289  ,Man City    ,-1.0
      4.0 ,      8.0 , 954.2196532352297  , 555.3519962139582  ,Chelsea     ,-1.0
      4.0 ,     10.0 , 833.7962332979913  , 951.8388944573528  ,Chelsea     ,-1.0
      4.0 ,     11.0 ,1093.9868648273264  , 670.3008754587088  ,Chelsea     ,-1.0
      4.0 ,     12.0 , 842.385508749483   , 701.7568424910659  ,Man City    ,-1.0
      4.0 ,     13.0 , 976.2685730544504  , 858.5708594408931  ,Chelsea     ,-1.0
      4.0 ,     14.0 , 833.9414402148694  , 836.3817486526095  ,Man City    ,-1.0
      4.0 ,     16.0 , 927.389791192915   , 714.126355874121   ,Man City    ,-1.0
      4.0 ,     17.0 ,1155.527087187071   , 791.7296069361045  ,Man City    ,-1.0
      4.0 ,     18.0 ,1080.511289029538   , 479.59290488674503 ,Chelsea     ,-1.0
      4.0 ,     19.0 ,1175.8842598776764  , 777.940742638993   ,Man City    ,-1.0
      5.0 ,      1.0 ,1507.1884561960956  , 654.8236190983218  ,Chelsea     ,-1.0
      5.0 ,      2.0 ,1313.5796670665504  , 661.6032716513433  ,Chelsea     ,-1.0
      5.0 ,      3.0 , 987.7872525653175  , 986.0471433895866  ,Chelsea     ,-1.0
      5.0 ,      4.0 , 864.4127429810708  , 633.3534531031022  ,Man City    ,-1.0
      5.0 ,      5.0 , 420.795045211041   , 612.2430816735734  ,Man City    ,-1.0
      5.0 ,      6.0 , 884.8153684818564  , 924.86161572907    ,Man City    ,-1.0
      5.0 ,      7.0 ,1239.9014286540698  , 664.1775410206336  ,Man City    ,-1.0
      5.0 ,      8.0 , 954.1262590305843  , 554.9013041403113  ,Chelsea     ,-1.0
      5.0 ,     10.0 , 836.715651626077   , 951.0154197638752  ,Chelsea     ,-1.0
      5.0 ,     11.0 ,1095.8825544333276  , 670.1021605218855  ,Chelsea     ,-1.0
      5.0 ,     12.0 , 845.0774461299552  , 700.9575335303426  ,Man City    ,-1.0
      5.0 ,     13.0 , 978.6201383496028  , 858.0041653717352  ,Chelsea     ,-1.0
      5.0 ,     14.0 , 833.8348302842205  , 835.874084712071   ,Man City    ,-1.0
      5.0 ,     16.0 , 926.1463335086323  , 714.2811462157977  ,Man City    ,-1.0
      5.0 ,     17.0 ,1156.4777745698527  , 791.9335819223013  ,Man City    ,-1.0
      5.0 ,     18.0 ,1082.3108105475733  , 479.2976092508096  ,Chelsea     ,-1.0
      5.0 ,     19.0 ,1173.2862035445096  , 778.0841461188675  ,Man City    ,-1.0
      5.0 ,     20.0 ,1223.4561767305818  , 857.0419658690577  ,Chelsea     ,-1.0
      5.0 ,      9.0 ,1106.7039999300953  , 643.8306829270853  ,Chelsea     ,-1.0
      6.0 ,      1.0 ,1507.1884561960956  , 654.8236190983218  ,Chelsea     ,-1.0
      6.0 ,      2.0 ,1313.5122349299181  , 661.2694333770949  ,Chelsea     ,-1.0
      6.0 ,      3.0 , 987.8837324825938  , 986.510783595304   ,Chelsea     ,-1.0
      6.0 ,      4.0 , 864.4127429810708  , 633.3534531031022  ,Man City    ,-1.0
      6.0 ,      5.0 , 420.795045211041   , 612.2430816735734  ,Man City    ,-1.0
      6.0 ,      6.0 , 884.7116108211067  , 924.3663475614989  ,Man City    ,-1.0
      6.0 ,      7.0 ,1239.098587472382   , 663.9011120432585  ,Man City    ,-1.0
      6.0 ,      8.0 , 954.1262590305843  , 554.9013041403113  ,Chelsea     ,-1.0
      6.0 ,     10.0 , 836.715651626077   , 951.0154197638752  ,Chelsea     ,-1.0
